2021-05-05 11:14:40+00:00,"Dear Kuala Lumpur,
This full #lockdown was predictable. You can't close one half of a city and keep the other half running.. It's like being able to pee only in certain parts of a pool. 
Stay well. 
#Malaysia 🇲🇾 
#KL
#wednesdaythought 
#StayHome",
2021-05-05 10:51:35+00:00,"So, another #lockdown or #mco in #Malaysia  for the next 2 weeks. I am again working from home. At least I can work on my drawing or reading while waiting for work.

I hate this.",
2021-05-04 15:37:31+00:00,"M.c.o 3.0??????
What is that mean?

#malaysia #lockdown",
2021-05-01 22:43:06+00:00,"Malaysia looking at another #lockdown in next few days. Looks like. 
Stay safe friends over there. 
#Malaysia 🇲🇾 
#StayHome",
2021-05-01 10:46:45+00:00,#lockdown is #lebanon is like telling #monkeys in #Malaysia to stop stealing from #tourists #notgonnahappen,
2021-04-30 17:39:04+00:00,#Malaysia deserved another strictest #lockdown to fight with increasing #covid19 cases,
2021-04-11 09:18:54+00:00,@CMOMaharashtra #lockdown is the new tool to save govt now a days #Thailand #malaysia are best examples,
2021-03-18 02:00:33+00:00,"Today Mark the 1st anniversary of Lockdown in Malaysia due to pandemic caused by Covid 19.... in this one year.. I believe it change all of us physically, mentally and spiritually.... #lockdown #1stAnniversary #COVID19",
2021-03-17 16:53:36+00:00,"Happy 1 year MCO Anniversary gaiiiss 🥂

#Malaysia #MCO335 #MCO #Lockdown",
2021-03-17 16:31:37+00:00,Happy MCO Anniversary!! #Malaysia #Lockdown,
